主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,令和6年度予算額,前年度予算額(千円),比較増△減額(千円)
国土交通省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,2801111,2178249,622862
国土交通省,5,3,11,02,雑収入,諸収入,物品売払収入,刊行物売払代,2193,2727,-534
国土交通省,5,3,25,01,雑収入,諸収入,附帯工事費負担金,附帯工事費負担金,17895962,15415000,2480962
国土交通省,5,3,25,02,雑収入,諸収入,附帯工事費負担金,道路附属物等復旧費負担金,2164944,2173944,-9000
国土交通省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,94407,73062,21345
国土交通省,5,3,99,04,雑収入,諸収入,雑入,延滞金,18623,46215,-27592
国土交通省,5,3,99,99,雑収入,諸収入,雑入,雑収,11219390,11305871,-86481
環境省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,816363,810209,6154
環境省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,72959,71696,1263
環境省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,12357,13732,-1375
環境省,5,1,02,03,雑収入,国有財産利用収入,国有財産使用収入,入場料等収入,345441,395862,-50421
環境省,5,2,03,14,雑収入,納付金,雑納付金,独立行政法人環境再生保全機構納付金,10726045,0,10726045
環境省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,30241,33313,-3072
環境省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,5590,997,4593
環境省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,1724805,2158414,-433609
環境省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,405,504,-99
環境省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,5800,4460,1340
環境省,5,3,99,04,雑収入,諸収入,雑入,延滞金,1354,1002,352
環境省,5,3,99,99,雑収入,諸収入,雑入,雑収,72309,73593,-1284
防衛省,3,2,01,02,官業益金及官業収入,官業収入,病院収入,防衛省病院収入,16339709,14368168,1971541
防衛省,4,1,01,05,政府資産整理収入,国有財産処分収入,国有財産売払収入,船舶売払代,87425,167486,-80061
防衛省,4,2,03,12,政府資産整理収入,回収金等収入,貸付金等回収金収入,自衛隊衛生貸費学生等貸与金償還金,610024,538670,71354
防衛省,4,2,05,01,政府資産整理収入,回収金等収入,事故補償費返還金,在日合衆国軍事故補償費返還金,44468,43422,1046
防衛省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,1084205,1025215,58990
防衛省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,1139093,1101369,37724
防衛省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,4941129,4405533,535596
防衛省,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,6376,6243,133
防衛省,5,1,02,03,雑収入,国有財産利用収入,国有財産使用収入,入場料等収入,11650,31335,-19685
防衛省,5,1,02,02,雑収入,国有財産利用収入,国有財産使用収入,寄宿料,114,139,-25
防衛省,5,1,02,04,雑収入,国有財産利用収入,国有財産使用収入,飛行場及航空保安施設使用料収入,1321,1435,-114
防衛省,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,2029,1657,372
