主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,平成24年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
内閣府,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,553464,583602,-30138
内閣府,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,1874,2934,-1060
内閣府,5,1,02,05,雑収入,国有財産利用収入,国有財産使用収入,公益認定等総合情報システム利用料収入,25514,25514,0
内閣府,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,170,187,-17
内閣府,5,2,03,04,雑収入,納付金,雑納付金,公認会計士法違反者納付金,16270,26820,-10550
内閣府,5,2,03,05,雑収入,納付金,雑納付金,価格協定等違反者納付金,19358358,26867240,-7508882
内閣府,5,2,03,06,雑収入,納付金,雑納付金,金融商品取引法違反者納付金,1281760,624720,657040
内閣府,5,3,03,27,雑収入,諸収入,特別会計受入金,自動車安全特別会計受入金,134604,140524,-5920
内閣府,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,18,1535,-1517
内閣府,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,96255,65611,30644
内閣府,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,238827,167025,71802
内閣府,5,3,11,01,雑収入,諸収入,物品売払収入,試験場製品等売払代,5315,4961,354
内閣府,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,197897,154827,43070
内閣府,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,18862,16536,2326
内閣府,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,2,1,1
内閣府,5,3,99,04,雑収入,諸収入,雑入,延滞金,6315,9005,-2690
内閣府,5,3,99,99,雑収入,諸収入,雑入,雑収,55261,58985,-3724
総務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,42523,43251,-728
総務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,68987,77327,-8340
総務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,37858,42430,-4572
総務省,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,3,3,0
総務省,5,2,03,72,雑収入,納付金,雑納付金,独立行政法人郵便貯金・簡易生命保険管理機構納付金,29521909,0,29521909
総務省,5,2,03,11,雑収入,納付金,雑納付金,独立行政法人情報通信研究機構納付金,0,467519,-467519
