主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,令和5年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
財務省,4,1,04,01,政府資産整理収入,国有財産処分収入,防衛力強化国有財産売払収入,土地売払代,416402000,0,416402000
財務省,4,2,01,06,政府資産整理収入,回収金等収入,特別会計整理収入,産業投資特別会計整理収入,374898,837944,-463046
財務省,4,2,01,12,政府資産整理収入,回収金等収入,特別会計整理収入,社会資本整備事業特別会計整理収入,16322071,22564390,-6242319
財務省,4,2,02,01,政府資産整理収入,回収金等収入,引継債権整理収入,公団引継債権整理収入,24,24,0
財務省,4,2,50,75,政府資産整理収入,回収金等収入,政府出資回収金収入,国立研究開発法人日本医療研究開発機構出資回収金,6450792,7656419,-1205627
財務省,4,2,50,25,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人国際交流基金出資回収金,74910,0,74910
財務省,4,2,50,26,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人造幣局出資回収金,1830131,0,1830131
財務省,4,2,50,76,政府資産整理収入,回収金等収入,政府出資回収金収入,国立研究開発法人量子科学技術研究開発機構出資回収金,35704,0,35704
財務省,4,2,50,43,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人国立高等専門学校機構出資回収金,69750,10508,59242
財務省,4,2,50,20,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人国際協力機構出資回収金,0,248185,-248185
財務省,4,2,50,28,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人国立科学博物館出資回収金,0,2862,-2862
財務省,4,2,50,77,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人日本芸術文化振興会出資回収金,0,50000000,-50000000
財務省,4,2,50,56,政府資産整理収入,回収金等収入,政府出資回収金収入,国立研究開発法人海洋研究開発機構出資回収金,0,5600,-5600
財務省,4,2,50,31,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人家畜改良センター出資回収金,0,3441,-3441
財務省,4,2,50,32,政府資産整理収入,回収金等収入,政府出資回収金収入,国立研究開発法人農業・食品産業技術総合研究機構出資回収金,0,3191,-3191
財務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,19719806,18606176,1113630
財務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,1137015,1131006,6009
財務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,16010082,16449167,-439085
財務省,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,146,274,-128
財務省,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,15048,18610,-3562
財務省,5,1,04,02,雑収入,国有財産利用収入,利子収入,指定預金利子収入,771,771,0
財務省,5,1,03,01,雑収入,国有財産利用収入,配当金収入,日本銀行配当金収入,2750,2750,0
財務省,5,1,03,05,雑収入,国有財産利用収入,配当金収入,日本郵政株式会社配当金収入,48770640,62797840,-14027200
財務省,5,1,03,06,雑収入,国有財産利用収入,配当金収入,日本アルコール産業株式会社配当金収入,16001,20001,-4000
財務省,5,1,03,07,雑収入,国有財産利用収入,配当金収入,輸出入・港湾関連情報処理センター株式会社配当金収入,21204,26505,-5301
財務省,5,2,01,01,雑収入,納付金,日本銀行納付金,日本銀行納付金,946400000,931200000,15200000
財務省,5,2,06,01,雑収入,納付金,独立行政法人造幣局納付金,独立行政法人造幣局納付金,1099049,1746330,-647281
財務省,5,2,03,07,雑収入,納付金,雑納付金,株式会社国際協力銀行納付金,208220,88036,120184
財務省,5,2,03,88,雑収入,納付金,雑納付金,独立行政法人国立印刷局納付金,30088,1019526,-989438
財務省,5,2,03,87,雑収入,納付金,雑納付金,独立行政法人造幣局納付金,0,552572,-552572
財務省,5,3,03,26,雑収入,諸収入,特別会計受入金,財政投融資特別会計受入金,33339,270144398,-270111059
財務省,5,3,03,09,雑収入,諸収入,特別会計受入金,外国為替資金特別会計受入金,940203475,1424483658,-484280183
財務省,5,3,03,30,雑収入,諸収入,特別会計受入金,エネルギー対策特別会計受入金,8,8,0
財務省,5,3,03,24,雑収入,諸収入,特別会計受入金,食料安定供給特別会計受入金,1,1,0
財務省,5,3,34,01,雑収入,諸収入,防衛力強化特別会計受入金,財政投融資特別会計特別措置受入金,200000000,0,200000000
財務省,5,3,34,02,雑収入,諸収入,防衛力強化特別会計受入金,財政投融資特別会計受入金,436672519,0,436672519
財務省,5,3,34,03,雑収入,諸収入,防衛力強化特別会計受入金,外国為替資金特別会計受入金,1894811685,0,1894811685
財務省,5,3,34,04,雑収入,諸収入,防衛力強化特別会計受入金,外国為替資金特別会計特別措置受入金,1200433043,0,1200433043
財務省,5,3,36,01,雑収入,諸収入,脱炭素成長型経済構造移行推進特別会計受入金,エネルギー対策特別会計受入金,143105,0,143105
財務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,841878,872638,-30760
財務省,5,3,06,02,雑収入,諸収入,許可及手数料,許可料,1469704,1437653,32051
財務省,5,3,07,07,雑収入,諸収入,受託調査試験及役務収入,地方消費税徴収取扱費受入,15968461,15849251,119210
財務省,5,3,08,04,雑収入,諸収入,懲罰及没収金,国税犯則者納金,177600,73700,103900
財務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,1234710,887411,347299
財務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,429194,457288,-28094
財務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,1107635,444621,663014
財務省,5,3,02,01,雑収入,諸収入,文官恩給費特別会計等負担金,文官恩給費特別会計等負担金,205453,265593,-60140
財務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,142399,88645,53754
財務省,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,6,6,0
財務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,18858,20987,-2129
財務省,5,3,99,17,雑収入,諸収入,雑入,経過利子受入,54115281,51156739,2958542
財務省,5,3,99,99,雑収入,諸収入,雑入,雑収,782917,811150,-28233
財務省,6,1,01,01,公債金,公債金,公債金,公債金,6558000000,8727000000,-2169000000
財務省,6,1,02,01,公債金,公債金,特例公債金,特例公債金,29065000000,53751917255,-24686917255
財務省,7,1,01,01,前年度剰余金受入,前年度剰余金受入,前年度剰余金受入,前年度剰余金受入,0,2207843341,-2207843341
財務省,7,1,02,01,前年度剰余金受入,前年度剰余金受入,東日本大震災復興前年度剰余金受入,前年度剰余金受入,0,118473696,-118473696
文部科学省,4,2,03,44,政府資産整理収入,回収金等収入,貸付金等回収金収入,育英資金貸付金償還金,56483844,52451995,4031849
文部科学省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,733067,668527,64540
文部科学省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,28396,3697,24699
文部科学省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,22532,24825,-2293
文部科学省,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,14629,14622,7
文部科学省,5,2,04,01,雑収入,納付金,独立行政法人日本スポーツ振興センター納付金,独立行政法人日本スポーツ振興センター納付金,3751179,3877734,-126555
文部科学省,5,2,03,39,雑収入,納付金,雑納付金,国立研究開発法人物質・材料研究機構納付金,23944,0,23944
文部科学省,5,2,03,41,雑収入,納付金,雑納付金,国立研究開発法人防災科学技術研究所納付金,29750,0,29750
文部科学省,5,2,03,40,雑収入,納付金,雑納付金,国立研究開発法人量子科学技術研究開発機構納付金,50125,0,50125
文部科学省,5,2,03,91,雑収入,納付金,雑納付金,独立行政法人日本学術振興会納付金,2139492,0,2139492
文部科学省,5,2,03,94,雑収入,納付金,雑納付金,独立行政法人日本スポーツ振興センター納付金,4548049,0,4548049
文部科学省,5,2,03,31,雑収入,納付金,雑納付金,国立研究開発法人日本医療研究開発機構納付金,4188,1953592,-1949404
文部科学省,5,2,03,35,雑収入,納付金,雑納付金,独立行政法人国立科学博物館納付金,0,56505,-56505
文部科学省,5,2,03,68,雑収入,納付金,雑納付金,国立研究開発法人科学技術振興機構納付金,0,8157503,-8157503
文部科学省,5,2,03,64,雑収入,納付金,雑納付金,国立研究開発法人海洋研究開発機構納付金,0,1592,-1592
文部科学省,5,2,03,42,雑収入,納付金,雑納付金,国立研究開発法人日本原子力研究開発機構納付金,0,15412,-15412
文部科学省,5,2,03,99,雑収入,納付金,雑納付金,国立大学法人納付金,0,2078422,-2078422
文部科学省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,26422,21789,4633
文部科学省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,312,523,-211
文部科学省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,16825010,18115259,-1290249
文部科学省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,3488,5249,-1761
文部科学省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,5240,3515,1725
文部科学省,5,3,99,04,雑収入,諸収入,雑入,延滞金,361,1741,-1380
文部科学省,5,3,99,14,雑収入,諸収入,雑入,原子力損害賠償補償料等収入,4393740,4439193,-45453
文部科学省,5,3,99,99,雑収入,諸収入,雑入,雑収,39273183,1304364,37968819
厚生労働省,3,2,01,04,官業益金及官業収入,官業収入,病院収入,国立障害者リハビリテーションセンター病院収入,711032,825612,-114580
厚生労働省,3,2,01,05,官業益金及官業収入,官業収入,病院収入,国立ハンセン病療養所病院収入,6321,11098,-4777
厚生労働省,4,2,03,19,政府資産整理収入,回収金等収入,貸付金等回収金収入,母子父子寡婦福祉資金貸付金償還金,0,5143911,-5143911
厚生労働省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,363429,360306,3123
厚生労働省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,38646,42523,-3877
厚生労働省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,66730,68631,-1901
厚生労働省,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,6171,6009,162
厚生労働省,5,2,03,97,雑収入,納付金,雑納付金,独立行政法人高齢・障害・求職者雇用支援機構納付金,373033,0,373033
厚生労働省,5,2,03,69,雑収入,納付金,雑納付金,独立行政法人労働政策研究・研修機構納付金,0,147535,-147535
厚生労働省,5,2,03,75,雑収入,納付金,雑納付金,国立研究開発法人医薬基盤・健康・栄養研究所納付金,0,1157960,-1157960
厚生労働省,5,2,03,84,雑収入,納付金,雑納付金,独立行政法人水資源機構納付金,0,2747,-2747
厚生労働省,5,2,13,01,雑収入,納付金,防衛力強化雑納付金,独立行政法人国立病院機構特別国庫納付金,42200000,0,42200000
厚生労働省,5,2,13,02,雑収入,納付金,防衛力強化雑納付金,独立行政法人地域医療機能推進機構特別国庫納付金,32400000,0,32400000
厚生労働省,5,3,03,28,雑収入,諸収入,特別会計受入金,年金特別会計受入金,188970,806150,-617180
厚生労働省,5,3,05,01,雑収入,諸収入,授業料及入学検定料,授業料,73532,77779,-4247
厚生労働省,5,3,05,02,雑収入,諸収入,授業料及入学検定料,入学及検定料,17111,17031,80
厚生労働省,5,3,05,03,雑収入,諸収入,授業料及入学検定料,講習料,17168,20207,-3039
厚生労働省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,80287,85206,-4919
厚生労働省,5,3,07,01,雑収入,諸収入,受託調査試験及役務収入,受託調査及試験収入,86894,100220,-13326
厚生労働省,5,3,07,02,雑収入,諸収入,受託調査試験及役務収入,受託造修収入,62037,70147,-8110
厚生労働省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,97147,40874,56273
厚生労働省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,739509630,905978409,-166468779
厚生労働省,5,3,35,01,雑収入,諸収入,防衛力強化弁償及返納金,返納金,134005161,0,134005161
厚生労働省,5,3,11,01,雑収入,諸収入,物品売払収入,試験場製品等売払代,71686,65215,6471
厚生労働省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,3536,1634,1902
厚生労働省,5,3,11,03,雑収入,諸収入,物品売払収入,特殊薬品売払代,10516,5099,5417
厚生労働省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,50943,31779,19164
厚生労働省,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,11,20,-9
厚生労働省,5,3,99,04,雑収入,諸収入,雑入,延滞金,13608,4677,8931
厚生労働省,5,3,99,02,雑収入,諸収入,雑入,失業者退職手当特別会計等負担金,103499,22985,80514
厚生労働省,5,3,99,09,雑収入,諸収入,雑入,労働保険審査会費特別会計負担金,302343,297218,5125
厚生労働省,5,3,99,99,雑収入,諸収入,雑入,雑収,712153,770661,-58508
農林水産省,3,2,03,01,官業益金及官業収入,官業収入,国有林野事業収入,国有林野事業収入,35438206,34880623,557583
農林水産省,4,1,01,01,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,737168,639344,97824
農林水産省,4,1,01,02,政府資産整理収入,国有財産処分収入,国有財産売払収入,立木竹売払代,242009,246289,-4280
農林水産省,4,2,03,37,政府資産整理収入,回収金等収入,貸付金等回収金収入,農地保有合理化促進対策資金貸付金償還金,11167,14301,-3134
農林水産省,4,2,03,38,政府資産整理収入,回収金等収入,貸付金等回収金収入,就農支援資金貸付金償還金,864732,957539,-92807
農林水産省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,187867,199279,-11412
農林水産省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,72710,80593,-7883
農林水産省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,670933,691236,-20303
農林水産省,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,773,924,-151
農林水産省,5,2,02,01,雑収入,納付金,日本中央競馬会納付金,日本中央競馬会納付金,360839248,340479993,20359255
農林水産省,5,2,03,46,雑収入,納付金,雑納付金,独立行政法人農林水産消費安全技術センター納付金,223611,187780,35831
農林水産省,5,2,03,81,雑収入,納付金,雑納付金,独立行政法人農畜産業振興機構納付金,1148790,1398611,-249821
農林水産省,5,2,03,82,雑収入,納付金,雑納付金,独立行政法人農業者年金基金納付金,347605,0,347605
農林水産省,5,2,03,50,雑収入,納付金,雑納付金,独立行政法人家畜改良センター納付金,0,3165,-3165
農林水産省,5,2,03,52,雑収入,納付金,雑納付金,国立研究開発法人農業・食品産業技術総合研究機構納付金,0,5492,-5492
農林水産省,5,2,03,84,雑収入,納付金,雑納付金,独立行政法人水資源機構納付金,0,20424,-20424
農林水産省,5,2,12,06,雑収入,納付金,東日本大震災復興雑納付金,独立行政法人農畜産業振興機構納付金,0,4470,-4470
